User,Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
17,Anahi Rogers,76,71,1943,8,Female,172 Birch Street,9.0,Flagstaff,AZ,86004,35.29,-111.32,$21950,$27484,$16803,660,4
18,Cayden Rivera,22,68,1997,11,Male,8145 Spruce Boulevard,635.0,Charlotte,NC,28269,35.19,-80.83,$26481,$53995,$89056,683,3
19,Cristiano Jenkins,66,68,1953,10,Male,153 Tenth Lane,,Tucson,AZ,85711,32.21,-110.88,$17460,$35602,$55369,661,5
20,Blaine Murphy,28,57,1991,8,Male,2473 Lake Avenue,6.0,Helena,GA,31037,32.07,-82.91,$12321,$25122,$43205,819,3
21,Grayson Diaz,18,65,2002,1,Male,970 Essex Drive,39.0,Portola Valley,CA,94028,37.37,-122.21,$106305,$216740,$0,700,2
22,Yadiel Miller,76,66,1943,6,Male,9186 Washington Avenue,,Cleveland,OH,44134,41.47,-81.67,$19524,$41109,$21486,698,2
23,Roland King,70,64,1949,4,Male,5073 Wessex Avenue,,Tyronza,AR,72386,35.49,-90.35,$14172,$26858,$11245,712,2
24,Cole Xi,45,65,1975,1,Male,195 Eighth Boulevard,,Central Point,OR,97502,42.39,-122.93,$17131,$34929,$63849,714,1
25,Jade Green,36,63,1983,8,Female,801 Mill Boulevard,,Mesa,AZ,85201,33.44,-111.85,$16829,$34317,$61826,610,3
26,Amaya Stewart,40,66,1979,4,Female,6914 Wessex Avenue,7043.0,Houston,TX,77061,29.76,-95.38,$15389,$31377,$59615,722,2
27,Grant Gray,37,58,1982,9,Male,776 Norfolk Boulevard,,Van Nuys,CA,91411,34.17,-118.46,$21402,$43638,$104052,627,1
28,Oliver Reed,41,67,1978,11,Male,2015 Bayview Avenue,8.0,Cookeville,TN,38501,36.15,-85.5,$15955,$32531,$38260,766,2
29,Aminah Collins,37,72,1983,2,Female,108 Washington Street,65.0,Whites Creek,TN,37189,36.28,-86.83,$20657,$42120,$72801,739,4
30,Ulises Neufelder,18,64,2001,5,Male,660 Seventh Drive,6.0,Columbus,OH,43230,39.98,-82.98,$28092,$57281,$89114,850,1
31,Tristan Hughes,49,66,1970,9,Male,7505 Tenth Boulevard,,Miami,FL,33175,25.77,-80.2,$18828,$38390,$87923,783,4
32,Madalynn Gutierrez,33,69,1986,9,Female,4930 Birch Drive,,Southport,NC,28461,33.92,-78.02,$17498,$35670,$58182,751,2
33,Rosa Faraday,21,66,1998,9,Female,93 Plum Lane,,Old Saybrook,CT,6475,41.29,-72.36,$30281,$61746,$154817,637,2
34,Brynn Allen,47,65,1972,11,Female,837 Lincoln Avenue,,Mobile,AL,36693,30.68,-88.04,$21331,$43496,$114563,765,3
35,Aden Adams,41,55,1978,8,Male,7467 Spruce Drive,,Sacramento,CA,95829,38.48,-121.34,$25431,$51854,$72162,737,2
36,Haylee Baker,51,68,1968,4,Female,6323 Sussex Boulevard,,Chula Vista,CA,91911,32.61,-117.03,$16942,$34540,$22641,793,5
37,Nehemiah Turner,46,62,1973,11,Male,8738 Fourth Street,,Hanover Park,IL,60133,41.97,-88.14,$20248,$41287,$88151,662,1
38,Simon Adams,46,70,1973,10,Male,9344 Mill Drive,,Seaside,CA,93955,36.62,-121.82,$18663,$38054,$63293,666,1
39,Sunny King,59,62,1961,2,Female,299 11th Street,,Northborough,MA,1532,42.31,-71.64,$39418,$80371,$108499,822,1
40,Harper Jackson,91,68,1929,2,Female,5492 Maple Drive,2.0,Overland Park,KS,66221,38.9,-94.68,$51642,$84694,$2149,741,7
41,Thomas Burns,79,72,1941,2,Male,829 Birch Boulevard,81.0,Corpus Christi,TX,78410,27.8,-97.39,$23608,$37503,$14272,706,5
42,Titan Flores,57,75,1962,12,Male,41011 Seventh Boulevard,,Chandler,AZ,85226,33.27,-111.94,$32056,$65357,$21844,685,4
43,Leslie Myers,26,52,1994,1,Female,613 Little Creek Lane,848.0,Immokalee,FL,34142,26.41,-81.42,$10819,$22066,$38967,842,1
44,Joaquin Parker,42,66,1977,11,Male,1942 Rose Avenue,,Port Orange,FL,32128,29.1,-81.0,$21916,$44681,$42011,770,3
45,Butch Brooks,26,69,1994,2,Male,5101 Birch Lane,,Maryland Heights,MO,63043,38.72,-90.47,$25163,$51306,$68198,675,1
46,Kiera Allen,18,59,2002,2,Female,7 11th Drive,,San Antonio,TX,78210,29.45,-98.5,$12677,$25847,$46379,568,1
47,Lylah Peres,60,64,1959,11,Female,2468 Spruce Drive,78.0,Longwood,FL,32750,28.7,-81.34,$22896,$46683,$93126,788,5
48,Ty Jackson,61,66,1958,11,Male,8001 Essex Boulevard,,Milwaukee,WI,53210,43.06,-87.96,$15487,$31579,$52419,771,3
49,Bodhi Nguyen,47,65,1972,10,Male,708 George Street,,Camilla,GA,31730,31.22,-84.21,$13759,$28055,$12475,829,3
50,Chaya Howard,42,68,1977,12,Female,28 Hillside Boulevard,4.0,Canton,MI,48188,42.3,-83.48,$32078,$65403,$80057,784,4
51,Kyleigh Rogers,55,73,1964,11,Female,446 Birch Drive,,La Follette,TN,37766,36.37,-84.12,$13522,$27572,$59404,797,1
52,Mikaela Martin,48,70,1971,12,Female,578 Maple Avenue,,Inman,SC,29349,35.05,-82.09,$18899,$38539,$0,850,3
53,Luella Perry,41,57,1978,7,Female,14 Valley Drive,,Poca,WV,25159,38.47,-81.81,$18666,$38059,$68220,634,2
54,Lainey Gutierrez,59,68,1960,11,Female,2475 Little Creek Boulevard,,Leander,TX,78641,30.56,-97.86,$25872,$52754,$38191,693,5
55,Marvin Anwar,45,59,1975,2,Male,9604 Catherine Drive,,Rego Park,NY,11374,40.72,-73.86,$25109,$51196,$67164,631,4
56,Holden Taylor,26,70,1993,7,Male,349 First Drive,,Atlanta,GA,30318,33.78,-84.44,$24382,$49713,$91776,763,1
57,Aiyana Abe,21,68,1998,4,Female,7914 Essex Boulevard,46.0,Toledo,OH,43623,41.66,-83.58,$21660,$44160,$134173,696,3
58,Milani Merkel,46,59,1973,5,Female,524 Ocean Drive,87.0,Houston,TX,77056,29.76,-95.38,$95039,$193773,$241571,660,1
59,Princess Cooper,41,66,1979,2,Female,2079 Maple Drive,,Mount Union,PA,17066,40.38,-77.88,$14650,$29864,$44902,717,2
60,Wyatt Davis,22,67,1997,7,Male,295 Valley Drive,,San Antonio,TX,78232,29.45,-98.5,$28135,$57367,$115418,795,2
61,Nathalie Faraday,63,58,1957,2,Female,2883 Ocean View Boulevard,1.0,Black Diamond,WA,98010,47.32,-121.99,$32697,$56635,$13015,786,8
62,Erik Chen,44,67,1975,3,Male,5125 Elm Drive,,Ogden,UT,84414,41.31,-111.96,$23165,$47227,$151030,760,4
63,Gatlin Morris,22,68,1997,10,Male,4098 Park Drive,8.0,Fort Worth,TX,76115,32.75,-97.33,$12051,$24574,$80667,674,3
64,Eloise Bennett,29,65,1991,1,Female,892 Spruce Street,,Saint Albans,NY,11412,40.69,-73.75,$21283,$43397,$42168,697,2
65,Leighton Wood,28,72,1991,6,Female,9977 Oak Avenue,,Oxford,MD,21654,38.68,-76.17,$28497,$58105,$70254,688,3
66,Layne Butler,82,67,1937,6,Male,79 South Boulevard,,Gonzales,TX,78629,29.5,-97.44,$15092,$10869,$1820,820,2
67,Janiyah Foster,90,66,1929,6,Female,145 River Drive,,Allentown,PA,18102,40.59,-75.47,$12427,$19893,$1712,566,3
68,Jagger Braun,63,65,1956,8,Male,7605 Essex Boulevard,,Mount Vernon,OH,43050,40.39,-82.47,$18019,$36743,$71719,612,2
69,Brianna Powell,49,70,1970,7,Female,480 Seventh Lane,1.0,Trenton,NJ,8610,40.22,-74.76,$22747,$46377,$79980,719,3
70,Elle Clark,36,69,1983,10,Female,5506 Fifth Boulevard,8012.0,Gardena,CA,90248,33.88,-118.27,$24611,$50179,$110515,743,1
71,Nathan Merkel,30,65,1989,11,Male,136 Spruce Street,,Petaluma,CA,94955,38.22,-122.55,$26748,$54537,$121987,765,4
72,Kristopher Nelson,23,66,1996,12,Male,306 First Drive,62.0,Apopka,FL,32712,28.68,-81.51,$24155,$49255,$6557,823,2
73,Asher Ortiz,42,65,1977,10,Male,272 Burns Boulevard,,Summit Argo,IL,60501,41.77,-87.82,$15221,$31031,$21853,744,7
74,Tristian Walker,65,66,1955,1,Male,190 Sixth Drive,,Rockwall,TX,75032,32.92,-96.45,$34659,$70673,$87605,714,4
75,Emily Parker,87,57,1932,10,Female,8569 Wessex Boulevard,,Birmingham,AL,35211,33.52,-86.79,$13263,$16342,$1758,747,5
76,Dangelo Ortiz,22,65,1997,9,Male,385 Lexington Boulevard,4.0,Seminole,TX,79360,32.71,-102.65,$15183,$30961,$42597,677,1
77,Ariana Cook,58,67,1961,3,Female,407 Park Lane,,Islandton,SC,29929,32.9,-80.93,$14864,$30305,$23392,776,3
78,Santana Myers,30,68,1989,3,Male,5142 Little Creek Street,,Edmond,OK,73034,35.67,-97.41,$33736,$68784,$198417,696,4
79,Faye Walker,25,71,1994,8,Female,224 Mountain View Boulevard,,Kalispell,MT,59901,48.19,-114.38,$17040,$34745,$26503,691,4
80,Rebecca Gonzalez,18,67,2001,11,Female,4735 Fifth Avenue,1.0,Baton Rouge,LA,70808,30.44,-91.12,$31741,$64715,$174664,740,3
81,Nadia Perry,59,69,1961,2,Female,4793 North Street,17.0,Mars,PA,16046,40.69,-80.01,$39464,$80464,$76261,727,3
82,Lizbeth Baker,18,67,2002,2,Female,72 El Camino Boulevard,,Pittsburgh,PA,15220,40.43,-79.97,$24400,$49748,$23161,748,1
83,Bryan Fox,61,58,1958,11,Male,381 Fifth Lane,6.0,Ontario,CA,91764,34.07,-117.62,$16113,$41904,$12545,655,4
84,Juliette Howard,54,70,1965,9,Female,393 Mountain View Lane,,Newport Coast,CA,92657,33.6,-117.82,$96516,$196784,$437533,729,3
85,Bella Kelley,27,66,1992,3,Female,293 Wessex Street,2.0,Northville,MI,48168,42.4,-83.6,$49458,$100837,$61377,687,2
86,Jordy Bailey,32,65,1987,6,Male,7276 Fourth Drive,,Fenton,MI,48430,42.8,-83.71,$25334,$51654,$95454,600,4
87,Amelia Fernandez,64,69,1955,6,Female,327 Lafayette Boulevard,457.0,Lancaster,OH,43130,39.72,-82.59,$18680,$38088,$51679,691,2
88,Bjorn Schmidt,18,69,2001,8,Male,2846 Lake Avenue,,Welsh,LA,70591,30.23,-92.81,$18082,$36866,$0,680,2
89,Skylar James,52,70,1967,9,Male,2093 Ocean Street,,Oakland,CA,94606,37.78,-122.24,$18443,$37607,$63689,749,5
90,Mae Farhad,49,66,1970,10,Female,981 Fifth Boulevard,,Fort Morgan,CO,80701,40.26,-103.79,$16910,$34480,$58795,696,1
91,Nikolai Cruz,43,66,1977,1,Male,18 Norfolk Boulevard,,Madison,WI,53716,43.07,-89.38,$23680,$48279,$114254,719,2
92,Jared Hill,36,65,1983,7,Male,977 Littlewood Avenue,,Panama City,FL,32401,30.17,-85.67,$16133,$32896,$69800,735,2
93,Jeremias Russell,18,71,2001,6,Male,993 Mountain View Avenue,,Perris,CA,92570,33.78,-117.33,$14667,$29909,$42832,664,2
94,Aubrielle Roman,37,64,1982,12,Female,896 Rose Street,,Minneapolis,MN,55433,44.96,-93.26,$23278,$47464,$83591,716,1
95,Carla James,23,64,1996,5,Female,2418 Mill Drive,3999.0,San Jose,CA,95129,37.3,-122.0,$41750,$85128,$108678,641,1
96,Kase Nguyen,54,69,1965,9,Male,3683 Fifth Street,7760.0,Mount Holly,NC,28120,35.3,-81.03,$22487,$45852,$114746,615,2
97,Annalee Sanders,33,67,1986,7,Female,0 Elm Street,,Glendale,AZ,85301,33.53,-112.18,$13024,$26556,$43042,840,2
98,Journee Collins,63,67,1956,11,Female,2302 Catherine Lane,,Hollywood,FL,33024,26.02,-80.16,$19712,$40194,$107765,738,6
99,Trent Davis,22,67,1998,2,Male,213 Rose Drive,,Irving,TX,75038,32.85,-96.96,$30475,$62135,$75209,676,2
100,Zavier Phillips,48,65,1972,1,Male,8975 Littlewood Boulevard,,Cape Coral,FL,33914,26.63,-81.99,$19274,$39303,$23650,702,7
101,Ivory Peres,63,64,1956,3,Female,1389 Park Lane,,Waldorf,MD,20603,38.64,-76.9,$35114,$71593,$132181,821,3
102,Ace Bailey,75,67,1944,12,Male,2890 Eighth Lane,,Maywood,IL,60153,41.88,-87.84,$15451,$22158,$19101,681,5
103,Agustin Reyes,62,66,1957,6,Male,20 Littlewood Boulevard,5.0,Howard Beach,NY,11414,40.66,-73.84,$26481,$53996,$98211,632,4
104,Hannah Chen,28,73,1991,10,Female,6413 Second Street,,Pensacola,FL,32505,30.44,-87.18,$12766,$26025,$23971,723,4
105,Zahra Williams,25,69,1994,11,Female,611 Elm Lane,,Yonkers,NY,10710,40.94,-73.86,$31299,$63816,$100128,775,1
106,Estelle Richardson,56,73,1964,1,Female,889 Martin Luther King Avenue,,Apex,NC,27502,35.72,-78.84,$32485,$66230,$90248,742,3
107,Lochlan Morris,56,56,1963,10,Male,336 Rose Avenue,,Chicago,IL,60616,41.83,-87.68,$25365,$36335,$28929,676,2
108,Simone Carter,59,61,1961,2,Female,4254 Plum Lane,,Westminster,CA,92683,33.74,-117.99,$19438,$39633,$58586,777,3
109,Zariah Mitchell,43,69,1976,8,Female,825 Sussex Avenue,,Dyer,IN,46311,41.5,-87.5,$28048,$57185,$0,773,3
110,Samuel Fu,37,69,1982,11,Male,185 Forest Drive,,Marietta,GA,30068,33.95,-84.54,$40530,$82637,$84762,739,2
111,Virginia Gutierrez,60,57,1960,1,Female,561 Martin Luther King Avenue,,Novi,MI,48375,42.47,-83.49,$34259,$31121,$32768,619,5
112,Isaias Robinson,47,67,1972,11,Male,335 Valley Stream Boulevard,,Gonzales,TX,78629,29.5,-97.44,$15092,$30774,$51428,700,3
113,Eduardo Wood,48,67,1971,12,Male,1773 Hill Street,,Shelbyville,IL,62565,39.4,-88.8,$16300,$33236,$57549,747,1
114,Parker Howard,35,65,1984,10,Male,55 Ocean View Street,,Amarillo,TX,79110,35.2,-101.81,$18613,$37947,$49951,683,3
115,Kendrick Brooks,24,65,1995,11,Male,8245 El Camino Lane,5.0,Wichita,KS,67207,37.68,-97.34,$21518,$43875,$128146,639,1
116,Maci Diaz,26,66,1993,5,Female,9530 Washington Street,,Novato,CA,94947,38.1,-122.63,$30335,$61850,$81158,728,9
117,Matias Farhad,28,71,1991,5,Male,221 Lexington Avenue,,Savannah,GA,31420,32.08,-81.1,$19770,$40314,$131348,707,4
118,Silas Ward,26,67,1993,8,Male,2484 Norfolk Drive,1.0,Milford,DE,19963,38.91,-75.43,$18622,$37968,$55982,788,3
119,Roland Gonzalez,41,67,1978,11,Male,133 Grant Lane,,Fremont,MI,49412,43.46,-85.95,$17145,$34954,$45456,772,3
120,Yehuda Jones,40,74,1979,9,Male,1977 Lake Avenue,,Woodland Hills,CA,91364,34.15,-118.6,$47055,$95945,$222735,772,2
121,Kaelyn Anwar,18,58,2002,2,Female,352 George Street,6.0,Fort Gratiot,MI,48059,43.07,-82.49,$16598,$33844,$42109,684,2
122,Justice Ortiz,66,67,1953,4,Male,554 Grant Boulevard,,Andover,KS,67002,37.69,-97.13,$32162,$65573,$143069,739,4
123,Messiah Bell,40,66,1979,7,Male,631 Ocean View Street,2.0,Madison,WI,53704,43.07,-89.38,$23840,$48609,$43520,737,3
124,Keira Wright,45,70,1974,5,Female,31 Jefferson Boulevard,,Fernwood,ID,83830,47.09,-116.46,$12618,$25723,$34007,746,3
125,Caylee Gutierrez,19,72,2000,3,Female,973 Federal Avenue,,Daphne,AL,36526,30.62,-87.89,$25495,$51984,$79152,691,3
126,Angel Hill,34,65,1986,2,Male,95266 Bayview Drive,,Oakland,CA,94611,37.83,-122.22,$52813,$107683,$225017,694,3
127,Bridget Faraday,24,69,1996,2,Female,932 Essex Street,6.0,Perris,CA,92571,33.83,-117.2,$16109,$32847,$33514,721,2
128,Sebastian Lee,57,66,1963,1,Male,126 Valley Drive,,Jackson,MS,39213,32.32,-90.2,$11061,$22556,$43260,645,4
129,Lizbeth Garcia,35,54,1984,9,Female,239 South Drive,,Aberdeen,MD,21001,39.51,-76.17,$22590,$46063,$106528,618,1
130,Ximena Davis,19,65,2000,9,Female,1134 Valley Drive,2623.0,Farmington,CT,6032,41.71,-72.83,$46762,$95348,$71972,706,3
131,Haley Braun,28,65,1992,1,Female,5863 Grant Avenue,,Wellsville,KS,66092,38.71,-95.08,$22158,$45180,$13168,698,2
132,Kalel Hughes,37,69,1982,4,Male,3472 11th Avenue,5.0,Orlando,FL,32822,28.5,-81.37,$15137,$30865,$55079,594,1
133,Korbin Roman,20,69,1999,11,Male,5590 Bayview Avenue,200.0,Avoca,MI,48006,43.05,-82.67,$20377,$41543,$49021,732,4
134,Kenny Gray,53,73,1966,9,Male,94 Jefferson Drive,8211.0,Tyler,TX,75706,32.32,-95.3,$14811,$30198,$40950,693,6
135,Adilynn Wood,45,64,1974,12,Female,582 Birch Boulevard,,Fort Myers,FL,33901,26.63,-81.85,$19621,$40006,$72794,621,1
136,Kace Chen,53,68,1966,5,Male,809 Mountain View Boulevard,,Olathe,KS,66062,38.88,-94.81,$30232,$61646,$0,693,3
137,Abril Cook,39,67,1980,10,Female,6339 Fourth Street,,Reisterstown,MD,21136,39.45,-76.81,$33175,$67643,$0,714,6
138,Ivy Gutierrez,86,71,1933,5,Female,81 Hill Avenue,66.0,Detroit,MI,48235,42.38,-83.1,$13820,$22650,$0,690,6
139,Garrett Macron,63,67,1956,10,Male,28136 Wessex Street,,Brooklyn,NY,11212,40.64,-73.94,$14856,$30288,$42745,689,4
140,Nolan Sadr,67,65,1952,10,Male,8787 Rose Avenue,,San Francisco,CA,94112,37.72,-122.44,$22549,$47213,$1082,789,5
141,Marianna Gutierrez,76,66,1943,10,Female,96 Ninth Lane,,Konawa,OK,74849,34.95,-96.75,$15005,$28215,$18116,697,2
142,Stetson Thomas,32,55,1987,4,Male,3249 12th Drive,,Woodinville,WA,98077,47.75,-122.04,$51751,$105515,$192458,646,4
143,Vicente Martinez,36,68,1983,12,Male,9340 Valley Street,20.0,Bradenton,FL,34207,27.48,-82.57,$13972,$28489,$6087,808,4
144,Amayah Thomas,63,69,1956,9,Female,6429 Fifth Avenue,42.0,Charlotte,NC,28226,35.19,-80.83,$39752,$81048,$156195,781,4
145,Zelda Ward,19,62,2000,12,Female,849 George Avenue,,Easton,MD,21601,38.77,-76.06,$23180,$47263,$74853,726,2
146,Drake Howard,19,71,2000,7,Male,804 Seventh Boulevard,,Redding,CA,96002,40.52,-122.32,$16585,$33816,$77770,635,1
147,Danielle Carter,25,69,1994,9,Female,76009 Valley Stream Boulevard,,Waukegan,IL,60085,42.37,-87.86,$15770,$32160,$62803,634,1
148,Kora Bailey,83,65,1936,8,Female,387 Third Boulevard,,Rio Rico,AZ,85648,31.5,-111.06,$15462,$29494,$1196,689,5
149,Emery Mitchell,68,63,1951,3,Female,6398 Lake Lane,,Franklin,TN,37067,35.92,-86.84,$36563,$70554,$39078,655,5
150,Zayn Nguyen,63,62,1956,9,Male,786 12th Drive,10.0,Wheeling,IL,60090,42.13,-87.92,$23098,$33686,$24997,488,2
151,Myah Gray,92,72,1927,8,Female,290 Forest Street,,Tucson,AZ,85749,32.28,-110.73,$30818,$57732,$2261,726,6
152,Cash Watson,21,65,1998,3,Male,320 Hillside Lane,,Memphis,TN,38106,35.1,-90.0,$10730,$21879,$69638,762,1
153,Benson Xi,28,65,1991,5,Male,437 Ocean View Drive,,State College,PA,16801,40.79,-77.85,$25031,$51041,$106989,686,1
154,Bjorn Perez,18,69,2002,1,Male,9850 Birch Drive,,West Roxbury,MA,2132,42.28,-71.16,$34519,$70380,$106797,725,2
155,Edward Abe,25,64,1994,8,Male,55 Third Drive,,Elmwood Park,IL,60707,41.92,-87.81,$20902,$42617,$67590,771,5
156,Shepard Lopez,75,65,1944,7,Male,177 Mill Boulevard,,Manahawkin,NJ,8050,39.69,-74.25,$21861,$46031,$8332,661,5
157,Estrella Sullivan,55,66,1964,10,Female,886 Little Creek Drive,,Delmar,NY,12054,42.62,-73.83,$31927,$65094,$23909,699,3
158,Jane Brooks,27,65,1993,2,Female,327 Seventh Boulevard,,Lexington,KY,40517,38.04,-84.45,$18278,$37268,$50388,626,1
159,Zaria Brooks,53,67,1967,2,Female,8224 Fourth Drive,,Waterbury,CT,6705,41.55,-73.03,$19114,$38972,$44098,738,3
160,Elsa Gonzalez,63,64,1957,2,Female,174 Catherine Boulevard,948.0,Compton,CA,90222,33.91,-118.23,$13075,$26661,$42667,750,5
161,Atticus Abe,48,66,1971,9,Male,496 Hill Lane,,Minneapolis,MN,55419,44.96,-93.26,$40364,$82295,$1555,736,4
162,Alfonso Gao,47,68,1972,9,Male,23068 Park Street,2.0,Lansing,NC,28643,36.49,-81.5,$12630,$25748,$41455,738,3
163,Ronin White,56,65,1963,11,Male,27019 Madison Lane,,Bean Station,TN,37708,36.34,-83.28,$13668,$27861,$108313,782,5
164,Gannon Baker,18,72,2001,12,Male,293 First Boulevard,,Redlands,CA,92374,34.06,-117.17,$23820,$48561,$0,752,1
165,Nicole Gomez,66,69,1953,4,Female,8929 Essex Drive,,Bloomington,IN,47403,39.16,-86.52,$19125,$38999,$64875,747,4
166,Korbin Long,62,66,1957,4,Male,1569 George Boulevard,,Bailey,NC,27807,35.78,-78.11,$16239,$33112,$56040,716,2
167,Melina Wright,34,66,1985,10,Female,326 Elm Lane,5.0,Charlotte,NC,28211,35.19,-80.83,$49477,$100880,$210445,770,1
168,Briar Smith,22,65,1997,11,Male,32 Valley Drive,,Oxnard,CA,93031,34.21,-119.18,$18175,$37058,$50548,680,2
169,Yahya Anderson,24,58,1995,3,Male,4132 Norfolk Boulevard,3.0,Hyattsville,MD,20785,38.95,-76.95,$23166,$47234,$89154,685,3
170,Florence Masvidal,45,72,1974,5,Female,819 El Camino Boulevard,,Cushing,OK,74023,35.97,-96.76,$17237,$35142,$107898,731,4
171,Danna Torres,43,65,1976,3,Female,742 Lake Street,,Coos Bay,OR,97420,43.37,-124.14,$15069,$30721,$49961,749,3
172,Paityn King,56,67,1963,12,Female,607 George Boulevard,,Acworth,GA,30101,34.05,-84.67,$28862,$58846,$126806,746,3
173,Layne Green,29,68,1990,6,Male,704 Eighth Avenue,,Waterville,NY,13480,42.93,-75.38,$19161,$39069,$63884,720,2
174,Sasha Gao,20,65,2000,2,Female,8643 Lafayette Boulevard,,Lawrenceville,GA,30043,33.94,-83.99,$24252,$49449,$30723,728,3
175,Yamileth Mitchell,39,73,1980,3,Female,63 Plum Street,,Stearns,KY,42647,36.69,-84.47,$10942,$22312,$39445,720,5
176,Mateo Robinson,32,72,1987,4,Male,5381 12th Boulevard,6.0,Miami,OK,74355,36.88,-94.87,$17845,$36388,$92949,710,4
177,Izabella Phillips,52,68,1967,8,Female,65 Fifth Boulevard,,Saint Cloud,FL,34771,28.24,-81.28,$22086,$45037,$31792,710,3
178,Samantha Gonzalez,47,63,1972,10,Female,2614 Eighth Lane,,Waupaca,WI,54981,44.35,-89.07,$18937,$38615,$74337,601,4
179,Bentlee Garcia,40,61,1979,7,Male,196 Plum Lane,,Bronx,NY,10458,40.84,-73.87,$13845,$28229,$55675,622,5
180,Sarah Clark,58,67,1961,11,Female,444 Maple Avenue,990.0,Noblesville,IN,46060,40.05,-86.03,$24638,$50232,$1218,751,4
181,Judah Jones,59,66,1960,5,Male,868 Maple Drive,,Greenville,KY,42345,37.2,-87.17,$16847,$34350,$61639,705,3
182,Bentley Lopez,47,69,1972,11,Male,6009 River Avenue,,Canton,GA,30114,34.24,-84.49,$25654,$52308,$135319,679,1
183,Juliet Hughes,27,66,1992,8,Female,2058 Spruce Street,,Saint Petersburg,FL,33709,27.75,-82.64,$15724,$32061,$58904,676,1
184,Javon Long,75,69,1945,2,Male,6930 East Lane,,Tooele,UT,84074,40.57,-112.33,$21749,$21154,$5764,705,6
185,Allie Sullivan,52,72,1967,10,Female,31204 El Camino Lane,,Austin,TX,78728,30.26,-97.74,$25594,$52186,$42852,737,4
186,Kassidy Morgan,43,70,1976,5,Female,967 First Avenue,4.0,Pierceton,IN,46562,41.19,-85.7,$17294,$35264,$70328,770,2
187,Evelynn Diaz,84,71,1935,9,Female,136 Hillside Avenue,,Walnut Creek,CA,94598,37.91,-122.01,$42234,$79870,$4031,609,2
188,Hayden Myers,70,59,1949,12,Female,669 South Street,,Barnstable,MA,2630,41.7,-70.3,$26762,$41902,$29713,633,5
189,Laura Cook,24,61,1995,8,Female,66992 Second Street,,Las Vegas,NV,89131,36.3,-115.24,$31374,$63969,$128412,626,1
190,Khalil Morgan,47,68,1972,7,Male,208 Park Avenue,,Lyndonville,VT,5851,44.53,-72.0,$16976,$34606,$23909,680,5
191,Moshe Gutierrez,32,60,1987,11,Male,335 Main Street,,Atlanta,GA,30310,33.72,-84.42,$13059,$26631,$33950,805,1
192,Pratik Thomas,39,64,1980,11,Male,532 12th Drive,3.0,Palm Bay,FL,32907,27.98,-80.66,$17645,$35978,$49366,643,3
